hs_class,text
negative,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget
positive,pak ai komunis indonesia hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong 
positive,itu adalah sudah nenek nenek saya heran sama cebong biasanya bohong terus 
positive,islam nusantara produk jil dipasarkan dengan gencar oleh antek jil dan sementara jil anti arab tapi pro asing dan kata almarhum kh hasyim muzadi 
negative,dari habis sahur sampai jam 10 sih bayi sudah nete empat kali sekarang rasanya lemas tak terkira 
negative,tidak kak emak adalah tidak suka sama yang sipit wkwk 
negative,kelakuan homo jaman now ngentot saja sambil live di blued gay video gvid lokal hangat uniform resource locator
negative,tidak kak gue bukan orang jawa maaf ya gue orang palembang soalnya kakak saja deh yang belajar aksara jawa atau kelak mau belajar budaya palembang 
positive,pegawai guardian training lagi kayak mentang mentang gue kayak gembel cuma kaos sama flat shoes be anya dijutekin bangsat memang malas belinya juga kabur gue ke matahari 
negative,para bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipat sanji selamat ulang tahun pelaut jkt48 
negative,ajakan menolak berita hoaks dan sukseskan pilihan kepala daerah di wilayah kota kediri 
negative,presiden ri jokowi luar biasa kerja nya tulus ikhlas untuk rakyat bersama jokowi
negative,edan memang tujuannya fabiano 
positive,tidak pernah mendalami al alquran ya bang pantas saja mulutnya kayak orang kafir bejat hina farhat abbas law 
negative,sangat terlihat beda sekali kewibawaannya yang sangat berwibawa cuma gubernur indonesia masya allah 
positive,anjir baru kali ini lihat orang bego mau debat pilihan kepala daerah kerjanya menyerang karakter kecewa on kamu empok silvy and agus debat final pemilihan kepala daerah jaka a
negative,gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot syiar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan pese a rakercabsu 
negative,apa iya islam itu tidak boleh di lokalisasi lah kristen saja mas ada nusantaranya mas lihat saja di gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas sunda jawa ada huria kristen batak protestan juga kurang nusantara apa 
negative,ciptakan situasi keamanan dan kete iban masyarakat menjelang pilihan kepala daerah 2018 kepala kepolisian sektor konang silaturahmi ke tokoh masyarakat
negative,positif kok nse positif respon masyarakat terhadap dan cangkul impor dan garam impor dan beras impor dan jagung impor dan tenaga kerja impor dan esemka impor dan nurl
negative,kata sembahyang mengadopsi tradisi lokal pada masa pekerjaan hindu dan istilah sembahyang pun lahir dari tradisi ritus menyembahhyang yang tunggal sama dengan shalat menyembah all
positive,kamu pendidikan tinggi tapi bodoh tidak ada larang bawa agama biar orang islam yang di bayar ahok sadar tidak jadi memilih ahok gila
positive,ahok the best abaikan kaum kampret otak micin 
positive,sih otak tempurung adalah tidak usah di meladeni semakin di lawan semakin belum dan dungu dan kalau tidak begitu dia tidak makan hehe 
positive,awaasss jangan sampai beritanya sampai ke saudara gerung nanti susah mencari kosakatanya kalau bocor saja memicing mata bibir monyong kesamping suara keluar ky lagi nhn kentut politik kotor sekali zaman ini kalau tahu b ini pulang sambil ky nhn ngeden dungu 
positive,pinokio umur 3 tahunan itu 2019 ganti presiden
negative,cerita silat lae semacam kho merah muda oh yang dari indonesia tapi liang ie shen penulis dari cina 
positive,benci sekali dengan umat islam
positive,provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus ibu kota beginilah cara cebong mendeskripsikan kekalahan junjungannya for your information ahok belum pernah ikut pemilihan apapun kecamatan jadi wakil dan dia bukanlah etnis mayoritas
negative,dari pada gue nete 
positive,wkwk bani lowo 
negative,takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan iblis makhluk yang alim amp telah beribadah beratus ratus tahun dilaknat karena hasud takaburnya apalagi hanya seorang ahli ilmu filsafat yang tidak failosof mari kita demo diri sendi
negative,a orang yang suka ke konser konser sedikit boros 
negative,sampai kapan makan racun banyak ulama yang mengatakan hukum rokok mubah dan ada juga 
negative,susilo bambang yudhoyono presiden ri ke 6 meminta khofifah emil untuk dekat dengan masyarakat no 1 bisa bagus khofifah emil nomor satu
positive,sudah biasa kali gue penggemar korea pop tapi kalau mengomong sama teman teman gue idol gue banci homo 
negative,saya suka video uniform resource locator awal kisah perseteruan haji bolot amp malih tongtong 
negative,budaya kafir bersungguh kalau hal hal islam tidak diindahkan 
negative,lah lah lah hem hem semua diam semua bisu dan kita coba tanya sama rumput yang bergoyang dan 
negative,apabila setan membisikkan was was kepadamu mintalah perlindungan kepada allah qs al a raf 200 dan fussilat 36 
negative,kalau kamu ateis apa sibuk dengan agama orang 
positive,lengserkan jokowi bangsat 
negative,selamat hari kakak ini 2019 ganti presiden 2019 presiden baru
positive,bajingan homo hati hati terhadap anak anak kita terutama di kamar mandi laki laki jangan biarkan sendiri uniform resource locator
positive,iya cocot 
negative,karena budaya indonesia 
negative,yang mengajarkan salat a saja itu orang asing dia hanya ingin memecah belah islam 
positive,amu berbicara saja tidak benar bangkai 
negative,kita semua tidak pernah akan memercayai yang negara kita di suatu hari nanti akan dijajah oleh ke ranah terdapat kasus kasus pembubaran sistem sistem beraja di negara kita kini untuk menjadikan sebagai negara republik komunis padahal negara negara penjaja
positive,tapi masih menikmati kebijakan yang dulu diusulkan pak ai komunis indonesia lah iya apa 
positive,kalau seumpama orang cina di usir paksa dari indonesia bagaimana
negative,bunda ngentot yuk 
positive,cina babi cina maling dan usir cina hype e transfer protocol over secure socket layer t co 9y4hiwhjp2
negative,bung karno anti asing dan beliau dari jawa coba deh adakan konsensus lebih banyak mana jawa yang anti asing atau pro asing karena kebo ohannya dan kalau kami keliru kami tutup akun 
positive,proyek korupsi rezim susilo bambang yudhoyono uniform resource locator
negative,wajar saja lihat saja tingkah beberapa petinggi negeri ini yang suka mencampur bahas indonesia dengan bahas asing setiap kali bicara 
negative,ab pribadi yang senang berkompetisi dalam hal yang baik dan positif
positive,terus menurut kamu kitab suci agama apa yang di bilang om mendadak kalap
negative,suka menutup mata tidak ditutup pun sudah terlihat te utup gara gara sipit 
negative,saya sebagai muslim tidak merasa pak menistakan kitab suci alquran an karena dalam alquran an sendiri ada beberapa suku kata yang sampai detik ini belum diketahui makna faktualnya oleh umat islam tetapi kami yaitu kata tersebut ada makna yang tersirat fiksi yang belum
positive,eh kasar kamu kampang 
negative,bentar lagi gue rilis album the onta sih wkwk 
positive,ada cebong bang dia merasa paling benar 
negative,najis banget gue mentwit apa barusan he 
positive,kamu transgender atau bagaimana anjing uniform resource locator
negative,awas bintitan kamu mengintip titit kucing 
negative,bawel bawa perasaan bolot baik bodor tidak jelas wkwk apa ya sudah itu saja deh 
positive,gue menyarankan tidak perlu banyak bacot maling ayat langsung to the point saja kamu jadi orang yang tidak sepaham kamu teriaki saja kafir sesat liberal pemuja dukun bla blaaa pasti hatimu puas deh 
positive,jangan salah target bukan ahok agenda utama lengserkan jokowi 
positive,masa baru kena tagar saja sudah kepanasan ingin tahu banget 2019 ganti presiden
negative,maju kamu sini duit tapi kamu goyang kaki tak buat pape mana lah duit nak maju kat kamu bodoh uniform resource locator
negative,huria kristen batak protestan berdiri itu sejak pecahnya kristen katolik pada zaman penjajahan belanda dulu tidak ada yang namanya kristen protestan yang ada cuma kristen katolik terjadilah perpecahan dan berdirilah huria kristen batak protestan yang p sama kali di tarutung dan nah sekarang anda saya k
negative,apa apa banyak baca biar pintar jepang amerika cina utang sama siapa anda tau tidak 
positive,prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu
negative,dan yang takut dengan azan adalah iblis 
positive,yang goblok itu adalah bani cebong tukang tipu penjilat penguasa yang ketahuan gerakan masa yang dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal 
positive,wah cebong sewot dan 
negative,2 gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa
positive,padahal gubernur saat ini djarot mayoritas pak ai politik di dewan perwakilan rakyat daerah juga pendukung ahok djarot payah ya mereka uniform resource locator
negative,rezim rusak bukan memperbaiki sistemnya malah sibuk cari cari kesalahan kalau itu pasti ketemu saja komisi pemberantasan korupsi alatnya besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi orangnya 
negative,saat orang orang saling menuding antek asing asing sesungguhnya be epuk tangan 
negative,nah lah katanya anti asing 
negative,selamat pak semoga bisa terus berkiprah bahkan tingkat nasional 
negative,asyik menang saya sih ikut ulama saja
negative,yang saya ketahui bahwa diketapang banyak tenaga kerja asing asing yang bekerja di berbagai perusahaan termasuk pt who tambang bauksit yang viral saat pemilihan presiden dulu dan bisa jadi ini karena kerja sama tersebut terjadi di era gubernur cornelis dan wakilnya tidak
positive,anak pecun tidak jauh jauh dari hobi zina haha 
negative,aku bom surat berharga syariat negara 
negative,istirahat saja pak presiden momentum sudah berlalu saya pernah jadi saksi telinga dan mata awal rapat pembentukan pada di pacitan tahun 2003
negative,pada 1979 house select committee on assassination hsca menemukan cacat investigasi yang dilakukan fbi dan warren commission hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya 
negative,tak terasa genap 1 tahun mendatang 17 april 2018 akan digelar hajatan pemilihan presiden acara tahunan negara indonesia untuk memilih presiden semoga senantiasa berjalan aman dan lancar amin 
negative,ian pantat 
negative,mengakuinya orang pintar dan beragama memangnya agama mana yang memperbolehkan menista dan menghujat orang lain jangankan orang bodoh orang yang maaf sejak lahir idiot sekalipun dia kita harus hargai sebagai sesama ciptaan tuhan ingat iblis itu juga pintar dan sangat licik 
positive,pendaftaran calon presiden untuk pemilihan presiden 2019 saja belum dibuka sampai agustus 2018 yang normatif begini politikus pak ai demokrasi indonesia perjuangan masih belum paham 2019 ganti presiden 
positive,sih tolol sudah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang dewan perwakilan rakyat paya cebong uniform resource locator
negative,dari dulu kenapa bapak gue kalau ke mantan mantan gue selalu merasa sedih sampai kepikiran dan tidak bisa tidur kamu dan gue merasa jadi anak yang berengsek saja begitu ke laki laki 
positive,cina perusak bangsa usir setuju 
positive,2019 ganti presiden secara konstitusional hak setiap rakyat woiii begini nih kalau plonga plongo tapi kelakuan otoriter 
negative,mari kita wujudkan pilihan kepala daerah kota bengkulu 2018 aman dan damai coki adem86 98heru 
negative,mau tanya serius ini sama presiden jokowi kenapa yang ada cuma islam nusantara kenapa tidak ada kristen nusantara buddha hindu bahkan kong hucu nusantara 
negative,kebersamaan pernyataan moeldoko bukti istana takut dengan kebangkitan umat islam
negative,cowok yang jago drase ana sini ngentot sama adik luvian 
positive,kroasia itu kafir tau apa belajar sama kafir sudah lupa sama kapling sorga 
positive,lah bukan nya menteri suha o ada yang homo 
negative,gue tau lah bukan yang dulu yang masih culun dan takut semua orang pasti akan berubah perlahan lahan entah itu baik buruk 
negative,pada perang salib dulu itu kerajaan di afrika terbagi dua yakni babilonia pemeluk kristen dan tobaco pemeluk islam 
positive,kejar setoran memang cukup bangsat mana rupiah turun 
positive,semoga ini ada tindak lanjutnya pelaporan terhadap penista agama adik armando akan dilakukan langsung oleh ketua umum front pembela islam kh shobri lubis ke badan reserse kriminal markas besar kepolisian republik indonesia gambir jaka a pusat pada selasa 10 4 pukul 13 00 waktu indonesia bagian barat perhaps 
positive,bangkai hajar 
positive,onta mati kalau kebanyakan minum 
positive,uniform resource locator ahok tng mereka terus was was hidupnya 
positive,itu baru di sul teng ini ekses akibat tersandera hutang cina 2019 ganti presiden 2019 presiden baru 2019 tetap jokowi ganti
negative,6 pride yunani hyper phania keangkuhan harga diri kesombongan dikenal juga dengan sebutan hubris vanity harga diri yang tinggi dapat mengubah manusia sombong kesombongan membuat manusia terkutuk dimata tuhan dan dapat membuat manusia mencintai dirinya sendiri 
negative,aku be anya tujuan pada hati logikaku yang menjawab tapi hati tak tenang aku be anya pada logika hatiku sedih ku cari jawaban dalam wasiat yang beliau tinggalkan dan aku mulai menjadi terasing dan asing di mata manusia tak apa duhai diri ada
positive,tak hanya kurang be aji nya komisi pemberantasan korupsi era ini tapi era ini juga komitmen dalam pemberantasan korupsi tidak surat pemberitahuan tahunan di era pak susilo bambang yudhoyono 
positive,admin tolol di pak ai tolol kenapa ai tolol untuk orang tolol 
negative,ayu ting ting goyang hot dekat raffi ahmad nagita slavina kampungan norak uniform resource locator
negative,video tentang tenaga kerja asing dibuat oleh malaysia tapi mengutip pernyataan saya di 
negative,ppp jangan buru buru tolak wacana pilihan kepala daerah lewat dewan perwakilan rakyat daerah
negative,random pagi pagi ada bapak bapak menyamper ke meja kerja terus be anya pakai bedak apa sih biar mukanya bersih istri saya butek soalnya ingin ku jawab pakai air wudhu tapi ku kristen 
negative,kok gue kampret 
negative,memek lonte ingin disodok kontol gede 
positive,jokowi saja yang mundur tutup uniform resource locator
positive,berbicara apa itu mulut kok sepe i banci beli kaca dulu lihat dirimu bro 
positive,ada amin racist nada amat dani nada ratna sih paiiit nada sih onta nada sih lobang anus jadi jangan takut oi oi kehabisan obat penenang ya 
positive,tunggu komando imam bejat cabul tai bir dan kenapa kenapa bawa ulama dasar banj sempak 
positive,kabinet berantakan pemecah belah persatuan hanya ada di rezim ini 
positive,ih mengakui lebih pintar dari orang politik mengaca dulu oi tampang kamu saja k k orang bego wkwk 
positive,pak ai demokrasi indonesia perjuangan menang dengan menekan perusahaan tambang dengan target proyek yang impossible lalu dilelang murah pada antek cina ntb contoh kasus pak ai demokrasi indonesia perjuangan mau menang dasar bajingan 
positive,tidak percaya sama mulut buaya mu bawang 
negative,2019 jika susilo bambang yudhoyono prabowo menyatu melawan mega jokowi maka peristiwa 2004 akan terulang dimana pak ai demokrasi indonesia perjuangan yang incumbent dikalahkan mutlak oleh susilo bambang yudhoyono tetapi jika jokowi mega susilo bambang yudhoyono melawan prabowo mk pemilihan presiden selesai sudah jika 3 poros di pemilihan presiden mk salah satu lawan
positive,jangan kayak banci kaleng kamu gatot sering buat gaduh gentleman lah mundur siap bersaing di pemilihan presiden 2019 melawan jokowi
negative,bebal 
negative,5 yang terakhir karena indonesia negara dengan populasi muslim terbesar di dunia yang mana islam saat ini merupakan musuh barat amp komunis karena dapat menghambat agenda dan kepentingan mereka obviously 
positive,umuh begitu persib persib kunyuk dan 
positive,buat film muslim pilih ahok mati tidak di disalatkan dijamin laris 
negative,tapi banu banu yahudi itu tentu beda dengan banu banu kristen suriah salah satu perbedaan ada banu yahudi tetap pakai eloah elohim yahwe sedangkan suriah sudah pakai alah allah 
negative,eh kenapa muka merah merah itu tak dapat cendol ke bukan lah setan cuaca sekarang nih panas 
positive,pemberitaan saracen diframing katak seakan tim prabowo dan anies sandi sebenarnya itu media menumpahkan sakit hati katak dan cebong ehe
negative,giat bhayangkara pembina keamanan dan kete iban masyarakat brigadir polisi manajemen berbasis sekolah sihombing pada hari ini rabu 11 april 2018 melaksanakan sambang desa dan tatap muka sekaligus memantau keamanan dan kete iban masyarakat menuju pilihan kepala daerah 2018 di desa lobusiregar i tepatnya di rumah rudi panjaitan helman siahaan dan hotman siahaan
negative,sayang banget ya melihat perempuan kayak begini tidak ada status apa apa tetapi sudah menempel sama laki laki sana sini aduh nagita slavina blak blak sebut ayu ting ting kampungan viva uniform resource locator
negative,jangan lupa juga kang umat katolik dan minoritas lainnya diperhatikan gubernur untuk semua golongan bukan satu golongan 
positive,kan saya bukan cebong sudah dibilangi dari kemarin masih mengeyel situ memaksa saya jadi cebong 
positive,kelemahan gerindra itu ada di orang ini prabowo turun elektabilitasnya karena congor fadli zon surat pemberitahuan tahunan durno 
negative,selamat hari kakak ini setiap kali selalu dirayakan lalu apa maknanya kali ini 
negative,foto memang bisu tetapi memiliki banyak a i yang susah dia ikan sama sepe i kamu susah dia ikan mau putus atau lanjut 
negative,wkwk aku sudah mengalaminya setibanya muncul grub wa a dan bani abdi hadi a k a mbahku dan seketika aku mek kenal beberapa orang saja 
negative,ayah pres badar dan nuqaba paling boekkk dia nih hebat dalam bidang agama akut natural killer tegur member sendiri dan selalu buat lawak hambar yang paling aku ingat sampai sekarang lawak dia kalau orang cukup jom gerak sekarang dia akan gerakan badan dia yang chubby itu 
negative,seorang anak pekan telah mengilhamkan dasar ekonomi baru deb dan menjadi penggerak utama kepada kemajuan ekonomi luar bandar beliau adalah allah ya rahman tun abdul razak ds malaysia memilih hogohundi
negative,haha sialaaan nih sih ternyata kalau lagi lapar presiden juga mau disikat sama dia 
positive,mau menasihati kali supaya tidak ugal ugalan nih rezim eh tapi ini negeri sudah keburu hancur nah sekarang saja ekonomi moral menikah kacaoooooo 
negative,alah silit kebelet kenapa dikasihani orang makin sayang saya pak setelah kasus media sosial gue baru sadar beberapa hal di satu instansi kemarin nanti gue ceritakan duuuhhh 
negative,iya tadi cacat 
positive,tahun 2019 rakyat makan aspal dan beton ini adalah solusi jitu mengurangi kemiskinan keahlian cebong hanya 1 tukang tipu cebong adalah begitu goblok tidak ketulungan plonga plongo mengakibatkan optimisme berlebihan 2019 ganti presiden 
negative,aku pernah sempat baca tentang harun yahya ini yang membelot ke kubu yahudi dengan freemason nya kadang suka tidak percaya 
negative,kita maju bersama ulama kita bergerak bersama semua tokoh agama untuk indonesia ikut gus mus
negative,
negative,mukidi terlalu percaya diri pe anyaan mudah ya dijawab yang keras tapi saya meminta dijawab yang keras siapa nama saya 
positive,kemarin di hujat sekarang mengharap dasar para bani kampret 
positive,penjelasan saya bukan fitnah silakan dibantah apollinaris darmawan sebut al alquran kitab sampah
positive,monyet saja koloe dibilang saudara sama kamu pasti ogah hidupmu kok begini amat ya itu hati apa comberan 
negative,body lufra scrub dengan bahan dasar lidah buaya untuk melembabkan kulit amp lebih bercahaya info 087812026394 body mass indeks 
negative,tak punya cacat di masa lalu karena belum bermasa lalu 
negative,jangan jangan penganut bumi datar juga soalnya teori bumi bulat kan dari orang asing yang notabene musuh mereka 
positive,becak warga binjai hendak disita karena gunakan tenda be uliskan 2019 ganti presiden pak ai keadilan sejahtera meradang bukti pemerintah panik dan takut 
positive,lebih baik jokowi mundur 
negative,musyawarah nasional alim ulama ppp di semarang menghasilkan lima rekomendasi syarat dan kriteria kriteria bagi calon wakil presiden yang akan mendampingi bapak jokowi di 2019 mendatang romahurmuziy
negative,luar biasa pencerahan nya saya merasa gagal sebagai anak ekonomi wkwk
negative,kafan berasal dari budaya yahudi kenapa umat islam mengklaim 
positive,oleh rezim sekarang atas kendali negara cina komunis yang menjadi patron tunggal rezim anti islam jokowi 
negative,itu tanda nya mau pilihan kepala daerah dan pemilihan presiden
negative,misi 4 membangun masyarakat yang gotong royong toleran dan harmoni selaras nilai budaya jawa barat yang luhur nomor tiga jawa barat asyik asyik menang
negative,ketabahan pasangan dan taufik dan puan nurliyana yang wajar dicontohi jom kita beri sumbangan untuk meringankan beban pasangan ini come on twitter do your berpikir badan standarisasi nasional 0510541000096745 bank islam 05058020145124 nurliyana bosan abdul razif 
positive,apa sih tai baru begitu doang belaganya sudah selangit tidak ingat ada karma nanti beberapa tahun lagi kalau idol kamu flop gue te awa paling keras 
negative,celeng kangen gue iya 
negative,terangi negeri dengan budaya yuk pada mengunjungi ke purwoke o mumpung ada even rakyat purwoke o ekstra vaganza banyumas
negative,presiden itu punya dana taktis dia bisa menggunakan untuk kepentingan rakyatnya di luar program program pemerintah yang sudah ada soal program banyak sekali ada pembangunan infrastruktur kip kakak kamu indonesia sehat se ifikat tanah perhutanan sosial bahan bakar minyak 1 harga padat karya 
negative,amin ya allah timnya kinan saja sampai pelatihan ular karena dia dapat di rawa rawa aku dapatnya di sungai gede begitu dan musuhnya buaya wkwk 
positive,maju kamu memaki mama aku bolot 
positive,gerombolan kadal jidat gosong memang begitu sukanya ribut tapi kalau gerombolannya yang salah pura pura budek dasar gerombolan cingkrang uniform resource locator
negative,sebegitu gentarnya dia takut terhadap kafir 
positive,betul padahal saracen juga siapa sehingga akun yang kritis dianggap saracen kan aneh jokowi
positive,siapa bego kamu bukan teman gue najis sudah kesal sendiri gue 
positive,kafir kristen selalu buat ulah
positive,tau dong bau baunya sudah keciri ini sipit buluk 
negative,kayak memegang bukan mucikari 
negative,guru tk darma wanita persatuan desa plumbon porong deklarasi anti hoaks ujaran kebencian isu sarah dan mendukung pilihan kepala daerah damai
negative,anjir seram mainnya begituan 
negative,kayaknya bisa atau cuma bank te entu bilang saja mau jual uang asing tukar ke rupiah 
positive,onta yaman nih dan setahun lagi gue depo asi kamu 
negative,hati hati berita pilihan kepala daerah yang berbau hoaks madiun madiun today 100thmadiun kotak karismatik madiun tolak cukai ilegal kunjungi juga
positive,anak cocot ya ini 
positive,udah ketahuan hoaks ya fahri makanya kalau ambil berita tuyg pembaruan jangan dari tong sampah diambil terus di screenshoot taunya berita sudah
negative,mantap direct message dekat sama barisan serba guna bang 
negative,ternyata ada lebah yang tidak suka bunga tapi makan bangkai gue penasaran madu nya kayak bagaimana 
positive,pantas indonesia mundur dalam segala bentuk
negative,nah yang dungu yang bilang hacker haha 
positive,haha blunder kamu cebong yang tidak memberi itu protein energy malnutrition pusat dengan alasan ham kalau rakyat aceh ya mau kali pun coba kamu datangi pemerintah bilang suruh buat hukum islam kaffah di aceh kalau dewan perwakilan rakyat a
negative,bangsat gue sudah menyelam sampai bawah bawah balik lagi ke atas 1 
negative,saya tak bisa dipancing pancing dengan urusan penistaan atau bukan saya hanya berbicara pemahaman saya tentang fiksi dan kitab suci 
positive,cebong kacung itu kita teman gue dungunya sampai ke tulang sumsum jadi jangan buang buang energi debat sama mereka 
positive,pak ai korupsi sapi goblok 
positive,sinyal kontol pemeliharaan apalagi ini niat tidak sih login twitter doang susah amat bagaimana mau open redtube setan 
negative,matanya aku tak mau aku kafir wkwk 
negative,jadi ingat facebook anjir lupa aku 
negative,kalau aku sih bakal bilang alah kontol 
positive,nikita mirzani sudah pakai hijab yang masih berbicara cebang cebong sudah pernah fantasikan dia belum uh ah cokorers 
negative,tatapannya dialihkan ke arah lain enggan menatap pria mencurigakan itu lagi pula siapa yang pe sama kali membuat gaduh suasana jika angie tidak menemukan ada seorang pria asing yang tidur di sofanya kejadian sepe i ini tidak akan terjadi 
negative,lahir dan berkembangnya gerakan komunis di indonesia tidak dapat dipisahkan dari sebuah organisasi yang bernama indische sociaal democratische vereeniging 
negative,shaheizy sama wajah baharu calpis
negative,ya terserah kamu saja balasnya kembali fokus kepada pekerjaan kita kami mengerjakan tugas proyek seni budaya hanya dalam 2 hari setelahnya langsung dikumpul dan dipresentasikan bersyukur nilainya memuaskan setelah kejadian proyek itu kami makin
negative,tidak akan bro
positive,kelakuan bodoh masuk kategori perbuatan tidak menyenangkan dan kelakuan sontoloyo sangat menganggu persatuan bangsa dan kelakuan naif secara tidak langsung sebagai bentuk intimidasi terhadap ulama dan kelakuan 
negative,monyet turun ke pemukiman warga cibadak sukabumi uniform resource locator
positive,kotor tidak masalah yang penting bahagia warganya cebong mana nge i 
negative,mau giveaway taplak meja tapi nanti yang menang cuma the rich chenle 
positive,sudah kebuka satu demi satu kebusukan kubu anies sandi yang menang dengan tanpa berkah uniform resource locator dan prabowo berusaha cuci tangan
negative,wkwk bodoh bang 
positive,bukan kayak orang bego bro tapi memang b ego 
negative,kementerian lingkungan hidup dan kehutanan upayakan pemerataan ekonomi melalui tora di kawasan hutan dan perhutanan sosial tribun medan
positive,pak mahfud md sudah berpaling dari allah subhanahu wa taala pemberang demi bangsa ajak semua buang islam
positive,orang orang bego kebanyakan minum amp makan kotoran onta otak nya somplak 
positive,apa yang terkuak semuanya sudah jelas sejak awal memang itu strategi kampanye kami di tim pemenangan anies sandi uniform resource locator
negative,warga badui setelah selesai memperingati tradisi seba di pendopo pemerintah kabupaten lebak akan dilanjutkan kembali be emu dengan gubernur banten wahidin halim hari ini sabtu 21 4 seba badui 2018 
positive,lembaga lembaga anti korupsi masa lalu bubar karena sentuh kekuasaan giliran komisi pemberantasan korupsi kenapa pak ai demokrasi indonesia perjuangan pak ai politik penguasa yang pulang mengotot ingin bubarkan komisi pemberantasan korupsi 
negative,justru mas kalau menyudutkan salah satu agama t entu malah bahaya itulah pak rocky ini cerdik dia bisa menyusun kalimat yang tepat amp pantas digunakan inti dari ini dia mau kasih tau pnge ian fiksi sebenarnya ayolah mas nya i
positive,para pendukung calon presiden gagal pindah on selalu sibuk urus asing bawa kabur uang rupiah 35 t tapi tidak sadar kenapa asing bisa kabur bawa uang sebanyak itu tanpa didukung pribumi anjing mustahil asing bisa pribumi hanya diam kalau disogok mental kacung memang uniform resource locator
positive,kamu rabun apa budek gue menulis tidak berbicara dan 
negative,bismillah menahan sepo yang terkutuk 
positive,brahahahaaa cebong nya ahoker cebong belum cebok 
negative,pembaruan status bikin tugas tugas selesai tidak ya kok jancuk sekali jembut 
negative,pak walaupun anda muslim sebagai pejabat negara anda harus be indak demi bangsa negara
negative,12 ikan yang sudah sembuh dari sakitnya dan yang masih terselamatkan bagus laik jual harus dipisah atau diseleksi dari ikan yang cacat permanen untuk pemeliharaan lebih lanjut dan dan kesehatan ikan ncc 
